year,player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
2014,Quinton Patton,7910,WR,4,SF,63.1,1,62.9,1,24,24,24,0,0,0,,0,0,0,,0,0,0
2014,Kyle Juszczyk,7912,FB,16,BLT,,2,,2,28,16,14,0,0,0,,0,0,0,,0,0,0
2014,Levine Toilolo,7915,TE,16,ATL,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Luke Willson,7940,TE,15,SEA,,3,,3,37,20,12.3,0,0,0,,0,0,0,,0,0,0
2014,Micah Hyde,7941,S,16,GB,77.5,18,59.5,4,96,28,24,0,0,0,86.4,14,221,75,15.8,2,3,0
2014,Tourek Williams,7960,ED,15,SD,,1,,1,13,13,13,0,0,0,,0,0,0,,0,0,0
2014,Latavius Murray,7962,HB,15,OAK,60.1,19,60.1,19,429,38,22.6,0,0,0,,0,0,0,,0,0,0
2014,Vince Williams,7988,LB,16,PIT,,1,,0,0,0,,0,0,0,,1,0,0,0,0,0,0
2014,Jordan Poyer,8000,S,16,CLV,44.6,7,,1,14,14,14,0,0,0,38.3,6,28,8,4.7,0,2,0
2014,Michael Cox,8036,HB,4,NYG,62.8,11,62.5,11,261,40,23.7,0,0,0,,0,0,0,,0,0,0
2014,Rashad Ross,8061,WR,2,CHI,53,4,53.6,4,106,24,26.5,0,0,0,,0,0,0,,0,0,0
2014,Chris Pantale,8089,TE,5,NYJ,,1,,1,24,24,24,0,0,0,,0,0,0,,0,0,0
2014,C.J. Anderson,8101,HB,15,DEN,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,George Winn,8123,HB,12,DET,,2,,2,28,16,14,0,0,0,,0,0,0,,0,0,0
2014,Kenbrell Thompkins,8126,WR,14,OAK,59.6,3,59.6,3,43,21,14.3,0,0,0,,0,0,0,,0,0,0
2014,Frankie Hammond,8156,WR,16,KC,69,17,62.3,2,74,37,37,0,0,0,71,15,200,47,13.3,0,4,0
2014,Tim Lelito,8189,C,16,NO,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Benny Cunningham,8283,HB,16,SL,72.4,35,71.2,35,963,75,27.5,0,0,0,,0,0,0,,0,0,0
2014,MarQueis Gray,8286,TE,13,BUF,,1,,1,14,14,14,0,0,0,,0,0,0,,0,0,0
2014,Adam Thielen,8288,WR,16,MIN,,2,,2,33,21,16.5,0,0,0,,0,0,0,,0,0,0
2014,Zach Sudfeld,8313,TE,16,NYJ,,1,,1,9,9,9,0,0,0,,0,0,0,,0,0,0
2014,Chase Thomas,8426,ED,5,SF,,1,,1,8,8,8,0,0,0,,0,0,0,,0,0,0
2014,Khiry Robinson,8514,HB,10,NO,59.9,1,59.9,1,28,28,28,0,0,0,,0,0,0,,0,0,0
2014,Fozzy Whittaker,8547,HB,10,CAR,82.7,11,80.5,11,262,46,23.8,0,0,0,,0,0,0,,0,0,0
